id,title,description,price,url,image,categoryId
p1,Стенды ТНВД и станки для ремонта ДВС — ООО «КРОСС ЭКСПОРТ»,"Продаём стенды ТНВД и станки для ремонта ДВС. Цены на 10–15% ниже конкурентов, доставка по России, гарантия и техподдержка.",10,https://sto.cross-export.ru,https://sto.cross-export.ru/images/tild3062-6330-4764-a263-303737666631___.jpg,1
p6,Станки для фрезеровки и шлифовки плоскости ГБЦ и блока — ООО «КРОСС ЭКСПОРТ»,"Станки для фрезеровки и шлифовки плоскости ГБЦ и блока цилиндров. В наличии и под заказ, доставка по России со скидкой 25%, гарантия и техподдержка.",25,https://sto.cross-export.ru/frezerovka,https://sto.cross-export.ru/images/tild3231-3934-4232-b630-396666653066__4.jpg,1
p9,Станки для обработки и шлифовки клапанов — ООО «КРОСС ЭКСПОРТ»,"Станки для обработки и шлифовки клапанов ДВС. В наличии и под заказ из Китая, цены на 10–15% ниже конкурентов, доставка по России и гарантия.",10,https://sto.cross-export.ru/obrabklapana,https://sto.cross-export.ru/images/tild6361-3837-4765-b031-623337303435__7.jpg,1
p10,Горизонтально-расточные станки — ООО «КРОСС ЭКСПОРТ»,"Горизонтально-расточные станки для ремонта ДВС. Модели в наличии и под заказ, доставка по России со скидкой 25%, гарантия и бесплатная техподдержка.",25,https://sto.cross-export.ru/gorizrast,https://sto.cross-export.ru/images/tild6463-3038-4266-a134-366638346336__8.jpg,1
p15,Стенд опрессовки ГБЦ LD-1650 — ООО «КРОСС ЭКСПОРТ»,"Стенд для опрессовки ГБЦ LD-1650. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1650,https://sto.cross-export.ru/ld-1650,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p16,Стенд опрессовки ГБЦ УГ1000 — ООО «КРОСС ЭКСПОРТ»,"Стенд для опрессовки ГБЦ УГ1000. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1000,https://sto.cross-export.ru/ug1000,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p17,Стенд опрессовки ГБЦ УГ1200 — ООО «КРОСС ЭКСПОРТ»,"Стенд для опрессовки ГБЦ УГ1200. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1200,https://sto.cross-export.ru/ug1200,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p18,Стенд опрессовки ГБЦ УГ1400 — ООО «КРОСС ЭКСПОРТ»,"Стенд для опрессовки ГБЦ УГ1400. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1400,https://sto.cross-export.ru/ug1400,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p19,Стенд опрессовки ГБЦ УГ1500 — ООО «КРОСС ЭКСПОРТ»,"Стенд для опрессовки ГБЦ УГ1500. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1500,https://sto.cross-export.ru/ug1500,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p20,Стенд опрессовки ГБЦ УГ1600 — ООО «КРОСС ЭКСПОРТ»,"Стенд для опрессовки ГБЦ УГ1600. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1600,https://sto.cross-export.ru/ug1600,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p21,Стенд опрессовки ГБЦ LD-1750 — ООО «КРОСС ЭКСПОРТ»,"Стенд для опрессовки ГБЦ LD-1750. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1750,https://sto.cross-export.ru/ld-1750,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p22,Станок для ремонта шатунов T8210E — ООО «КРОСС ЭКСПОРТ»,"Станок для расточки верхней и нижней головки шатуна T8210E. В наличии и под заказ, доставка по России, гарантия и техподдержка.",8210,https://sto.cross-export.ru/t8210e,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p23,Станок для ремонта шатунов T8216 — ООО «КРОСС ЭКСПОРТ»,"Станок для ремонта шатунов T8216. В наличии и под заказ, доставка по России, гарантия и техподдержка.",8216,https://sto.cross-export.ru/t8216,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p27,Станок обработки поверхностей ГБЦ SMG1500 — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки поверхностей ГБЦ SMG1500. В наличии и под заказ, доставка по России, гарантия и техподдержка.",1500,https://sto.cross-export.ru/smg1500,https://sto.cross-export.ru/images/tild3031-6363-4336-b438-633163653236___.jpg,1
p28,Станок фрезеровки плоскости ГБЦ 3M9735С130 — ООО «КРОСС ЭКСПОРТ»,"Станок для фрезеровки и шлифовки плоскости ГБЦ и блока 3M9735С130. В наличии и под заказ, доставка по России, гарантия и техподдержка.",9735,https://sto.cross-export.ru/3m9735130,https://sto.cross-export.ru/images/tild3031-6363-4336-b438-633163653236___.jpg,1
p29,Станок фрезеровки плоскости ГБЦ 3M9735С150 — ООО «КРОСС ЭКСПОРТ»,"Станок для фрезеровки и шлифовки плоскости ГБЦ и блока 3M9735С150. В наличии и под заказ, доставка по России, гарантия и техподдержка.",9735,https://sto.cross-export.ru/3m9735150,https://sto.cross-export.ru/images/tild3031-6363-4336-b438-633163653236___.jpg,1
p30,"Станок для фрезеровки и шлифовки плоскости ГБЦ и блока 3M9735С150. В наличии и под заказ, доставка по России, гарантия и техподдержка.","Станок для фрезеровки и шлифовки плоскости ГБЦ и блока 3M9740С130. В наличии и под заказ, доставка по России, гарантия и техподдержка.",9735,https://sto.cross-export.ru/3m9740c130,https://sto.cross-export.ru/images/tild3031-6363-4336-b438-633163653236___.jpg,1
p31,Станок фрезеровки плоскости ГБЦ 3M9740С150 — ООО «КРОСС ЭКСПОРТ»,"Станок для фрезеровки и шлифовки плоскости ГБЦ и блока 3M9740С150. В наличии и под заказ, доставка по России, гарантия и техподдержка.",9740,https://sto.cross-export.ru/3m9740c150,https://sto.cross-export.ru/images/tild3031-6363-4336-b438-633163653236___.jpg,1
p32,Плоскошлифовальный станок TSM-850 — ООО «КРОСС ЭКСПОРТ»,"Плоскошлифовальный станок TSM-850. В наличии и под заказ, доставка по России, гарантия и техподдержка.",850,https://sto.cross-export.ru/tsm-850,https://sto.cross-export.ru/images/tild3031-6363-4336-b438-633163653236___.jpg,1
p33,Вертикально-расточной станок BM200 — ООО «КРОСС ЭКСПОРТ»,"Вертикально-расточной станок с фрезеровкой плоскости BM200. В наличии и под заказ, доставка по России, гарантия и техподдержка.",200,https://sto.cross-export.ru/bm200,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p34,Вертикально-расточной станок T200D — ООО «КРОСС ЭКСПОРТ»,"Вертикально-расточной станок с фрезеровкой плоскости T200D. В наличии и под заказ, доставка по России, гарантия и техподдержка.",200,https://sto.cross-export.ru/t200d,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p35,Вертикально-расточной станок TХ200D — ООО «КРОСС ЭКСПОРТ»,"Вертикально-расточной станок с фрезеровкой плоскости TХ200D. В наличии и под заказ, доставка по России, гарантия и техподдержка.",200,https://sto.cross-export.ru/tx200d,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p36,Вертикально-расточной станок TХМ200D — ООО «КРОСС ЭКСПОРТ»,"Вертикально-расточной станок с фрезеровкой плоскости TХМ200D. В наличии и под заказ, доставка по России, гарантия и техподдержка.",200,https://sto.cross-export.ru/txm200d,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p37,Станок фаски седла клапана BV120 — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов BV120. В наличии и под заказ, доставка по России, гарантия и техподдержка.",120,https://sto.cross-export.ru/bv120,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p38,Станок фаски седла клапана BV60 — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов BV60. В наличии и под заказ, доставка по России, гарантия и техподдержка.",60,https://sto.cross-export.ru/bv60,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p39,Станок фаски седла клапана BV60S — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов BV60S. В наличии и под заказ, доставка по России, гарантия и техподдержка.",60,https://sto.cross-export.ru/bv60s,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
